Label,Sharpe,PnL,Markets,Win Rate,ROT,Gross ROT,Days
IS (2026-03-02 to 2026-03-29),-1.78,$-8.76,2095,60.1%,-0.0042,0.0163,27
OOS (2026-03-30+),0.20,$0.70,1096,62.3%,0.0006,0.0208,28
