Label,Sharpe,PnL,Markets,Win Rate,ROT,Gross ROT,Days
IS (2026-03-02 to 2026-03-29),-2.77,$-13.90,1749,61.2%,-0.0079,0.0124,25
OOS (2026-03-30+),3.88,$9.23,687,65.1%,0.0134,0.0342,28
