Label,Sharpe,PnL,Markets,Win Rate,ROT,Gross ROT,Days
IS (2026-03-03 to 2026-03-29),-0.30,$-1.00,1522,48.2%,-0.0007,0.0151,26
OOS (2026-03-30+),5.32,$26.26,1688,58.1%,0.0156,0.0313,28
